seg	chunk	words	dur_a	dur_b	lead_a	lead_b	trail_a	trail_b	speech_a	speech_b	gaps_a	gaps_b	gap_secs_a	gap_secs_b	rms_a	rms_b	text
154	0	10	3.6927	3.6932	0.0500	0.0500	0.2827	0.2832	3.3600	3.3600	1	0	0.1600	0	0.0477	0.0477	“Hear me!” cried the Ghost. “My time is nearly gone.”
155	0	15	5.1430	5.1434	0.0500	0.0500	0.2830	0.2834	4.8100	4.8100	1	1	0.3500	0.3500	0.0450	0.0449	“I will,” said Scrooge. “But don’t be hard upon me! Don’t be
156	0	30	7.2686	7.2684	0.0600	0.0600	0.3286	0.3284	6.8800	6.8800	2	2	0.7000	0.7000	0.0422	0.0423	“How it is that I appear before you in a shape that you can 
157	0	15	5.3942	5.3938	0.0500	0.1100	0.3042	0.3038	5.0400	4.9800	1	1	0.2600	0.2300	0.0452	0.0451	It was not an agreeable idea. Scrooge shivered, and wiped th
158	0	38	10.6160	10.6160	0.0900	0.0900	0.3560	0.3560	10.1700	10.1700	6	6	1.4200	1.3600	0.0412	0.0412	“That is no light part of my penance,” pursued the Ghost. “I
159	0	11	3.6931	3.6935	0.0600	0.0600	0.2331	0.2535	3.4000	3.3800	0	1	0	0.1500	0.0494	0.0494	“You were always a good friend to me,” said Scrooge. “Thank’
160	0	10	3.9434	3.9428	0.0600	0.0600	0.2834	0.3228	3.6000	3.5600	0	0	0	0	0.0460	0.0460	“You will be haunted,” resumed the Ghost, “by Three Spirits.
161	0	11	4.1650	4.1652	0.0600	0.0600	0.3050	0.3052	3.8000	3.8000	1	1	0.1900	0.3200	0.0438	0.0438	Scrooge’s countenance fell almost as low as the Ghost’s had 
162	0	15	5.1446	5.1450	0.0500	0.0500	0.3046	0.3050	4.7900	4.7900	0	0	0	0	0.0458	0.0458	“Is that the chance and hope you mentioned, Jacob?” he deman
163	0	2	1.0978	1.1003	0.0500	0.0500	0.1477	0.1503	0.9000	0.9000	0	0	0	0	0.0513	0.0513	“It is.”
164	0	7	3.0927	3.0833	0.0600	0.0500	0.2327	0.2533	2.8000	2.7800	0	0	0	0	0.0492	0.0492	“I—I think I’d rather not,” said Scrooge.
165	0	24	7.5353	7.5352	0.0500	0.0500	0.7253	0.4252	6.7600	7.0600	0	1	0	0.2900	0.0422	0.0423	“Without their visits,” said the Ghost, “you cannot hope to 
166	0	14	4.5202	4.5205	0.0500	0.0500	0.2702	0.2705	4.2000	4.2000	1	0	0.1500	0	0.0471	0.0470	“Couldn’t I take ’em all at once, and have it over, Jacob?” 
167	0	47	11.9526	11.9530	0.0900	0.0900	0.6426	0.6430	11.2200	11.2200	4	3	0.8200	0.7500	0.0407	0.0407	“Expect the second on the next night at the same hour. The t
168	0	68	20.1288	20.0954	0.0500	0.0500	0.7988	0.7954	19.2800	19.2500	5	5	1.4500	1.6000	0.0413	0.0413	When it had said these words, the spectre took its wrapper f
169	0	29	8.2915	8.2910	0.0900	0.0900	0.5815	0.5810	7.6200	7.6200	1	0	0.2000	0	0.0436	0.0436	The apparition walked backward from him; and at every step i
170	0	31	8.9990	9.2425	0.0900	0.0900	0.3590	0.6025	8.5500	8.5500	2	2	0.4100	0.4100	0.0424	0.0419	It beckoned Scrooge to approach, which he did. When they wer
171	0	57	19.4817	19.4813	0.0500	0.0500	0.3317	0.3313	19.1000	19.1000	6	7	1.7500	2.0700	0.0429	0.0429	Not so much in obedience, as in surprise and fear: for on th
172	0	12	4.6626	4.6640	0.0600	0.0600	0.2526	0.2540	4.3500	4.3500	0	0	0	0	0.0471	0.0470	Scrooge followed to the window: desperate in his curiosity. 
173	0	117	33.8270	33.9083	0.0500	0.0500	0.3270	0.3283	33.4500	33.5300	13	15	3.4700	4.0100	0.0406	0.0406	The air was filled with phantoms, wandering hither and thith
174	0	4	2.5238	2.5233	0.0500	0.0500	0.2338	0.2333	2.2400	2.2400	0	0	0	0	0.0553	0.0551	Ghosts of Departed Usurers
175	0	34	10.0009	9.8967	0.0700	0.0800	0.4609	0.3567	9.4700	9.4600	3	3	0.6200	0.6700	0.0421	0.0422	Whether these creatures faded into mist, or mist enshrouded 
176	0	93	27.0817	26.9578	0.0500	0.0500	0.2817	0.3078	26.7500	26.6000	9	9	2.9900	3.0000	0.0409	0.0410	Scrooge closed the window, and examined the door by which th
